iter	Logloss
0	0.6794957849
1	0.6665693096
2	0.6547157628
3	0.6429646325
4	0.6321581567
5	0.6240560016
6	0.6152541301
7	0.6066795462
8	0.5987746768
9	0.5909778979
10	0.5846763386
11	0.5784485662
12	0.5733315055
13	0.5665442589
14	0.5605610576
15	0.5555025887
16	0.5497741381
17	0.5446928445
18	0.5409950631
19	0.5360483197
20	0.5316463828
21	0.5278572272
22	0.5235343882
23	0.5208551873
24	0.5181891203
25	0.5156671945
26	0.5126488842
27	0.5104675256
28	0.5078101501
29	0.5059988907
30	0.5038380465
31	0.5011060375
32	0.4984808505
33	0.4967577303
34	0.494523819
35	0.4923360785
36	0.4905383578
37	0.4884860207
38	0.4863209259
39	0.484805306
40	0.4821861216
41	0.4804432361
42	0.478624537
43	0.4765332696
44	0.4742362568
45	0.4727428551
46	0.4711988577
47	0.4697979098
48	0.4681372993
49	0.4670459426
50	0.4659744878
51	0.4648162466
52	0.4638648549
53	0.4629850099
54	0.4618614611
55	0.4606693252
56	0.4596016402
57	0.458250408
58	0.4571335334
59	0.4558290957
60	0.4545311134
61	0.4530484254
62	0.4517801144
63	0.4506824334
64	0.4499736133
65	0.4487847951
66	0.4478155554
67	0.4473851718
68	0.446647978
69	0.4447829893
70	0.444107759
71	0.4431813479
72	0.4426447117
73	0.4415280978
74	0.4407742498
75	0.4395608507
76	0.4390793765
77	0.4385158307
78	0.4380974551
79	0.4370427859
80	0.4363290103
81	0.4356649203
82	0.435165091
83	0.4342425274
84	0.4335416755
85	0.4325894614
86	0.431723321
87	0.4308547045
88	0.4302313504
89	0.4294632358
90	0.4288448588
91	0.4284333426
92	0.4277987814
93	0.4272917266
94	0.4265571858
95	0.4261970169
96	0.4248383833
97	0.4243273523
98	0.423749618
99	0.4234457525
100	0.422859104
101	0.4221576503
102	0.4215052446
103	0.421162692
104	0.4207474906
105	0.420233441
106	0.4199154468
107	0.4194554341
108	0.4186158956
109	0.4183854875
110	0.4178720308
111	0.4175929966
112	0.4172003134
113	0.4164127238
114	0.415896959
115	0.415796557
116	0.4151588124
117	0.4144906404
118	0.4138767478
119	0.4136422615
120	0.4134032873
121	0.4129169942
122	0.4126909437
123	0.4123678478
124	0.4120589376
125	0.4115853526
126	0.4112575735
127	0.4107263188
128	0.4105514561
129	0.4100854976
130	0.4096925029
131	0.409042714
132	0.4087703299
133	0.4083880377
134	0.4081619303
135	0.407852648
136	0.4072937737
137	0.4069867922
138	0.4065498831
139	0.4063022604
140	0.4060349379
141	0.4058457384
142	0.4056006857
143	0.4053637864
144	0.4047093942
145	0.404422998
146	0.4041236011
147	0.4038605498
148	0.4028275654
149	0.4022796778
150	0.4015437028
151	0.4013420992
152	0.4005795175
153	0.4003802226
154	0.3998536377
155	0.399688302
156	0.3994779402
157	0.3992467482
158	0.3990093169
159	0.3986968378
160	0.3981260077
161	0.3979682215
162	0.3971729312
163	0.3966011525
164	0.3963934279
165	0.3962492262
166	0.3957762172
167	0.3956351608
168	0.3954230325
169	0.3949791648
170	0.3948678289
171	0.3946284653
172	0.3944266171
173	0.3942406441
174	0.3941284318
175	0.3937748506
176	0.3936487593
177	0.3934769249
178	0.3933495437
179	0.3930702581
180	0.3928618508
181	0.3924258381
182	0.3922675016
183	0.3920519228
184	0.3916673497
185	0.3915160277
186	0.3907133483
187	0.390540449
188	0.3903744435
189	0.3899815847
190	0.3898944633
191	0.3892331584
192	0.3888532005
193	0.3885517297
194	0.3883594822
195	0.3881981299
196	0.3880372851
197	0.3879000519
198	0.3877132816
199	0.3872038125
200	0.387065689
201	0.386658102
202	0.3865057211
203	0.3863342682
204	0.3860667346
205	0.3858899111
206	0.3855696787
207	0.3854101015
208	0.3852355088
209	0.3850786569
210	0.3847887212
211	0.3846091347
212	0.3844983014
213	0.3840981229
214	0.3838788539
215	0.3837322496
216	0.3836306984
217	0.383480837
218	0.3833112071
219	0.3832048038
220	0.382967028
221	0.382793766
222	0.3826140819
223	0.3824574274
224	0.3821523927
225	0.381754833
226	0.3816149508
227	0.3814818464
228	0.3813477052
229	0.3812100103
230	0.3811094174
231	0.3807947283
232	0.380602256
233	0.3804729994
234	0.3802288385
235	0.3801271977
236	0.3799537569
237	0.3798727087
238	0.3796128461
239	0.3794112827
240	0.3792609168
241	0.3784829541
242	0.3783036208
243	0.378057596
244	0.3778937348
245	0.3777458545
246	0.3776175513
247	0.3774517729
248	0.3771243738
249	0.3769924066
250	0.3765735967
251	0.3764022227
252	0.3761617286
253	0.3760320014
254	0.3758793732
255	0.3756773104
256	0.3749842348
257	0.3746636429
258	0.3745338537
259	0.374338193
260	0.3742182873
261	0.3740608594
262	0.3738531285
263	0.37349127
264	0.3733876533
265	0.3732898275
266	0.3731474774
267	0.3728275021
268	0.3721715907
269	0.3719635006
270	0.3718559378
271	0.3717115727
272	0.3715261463
273	0.3712976764
274	0.3712129256
275	0.3710424095
276	0.3709472401
277	0.3707853752
278	0.3706178691
279	0.3705301403
280	0.370436938
281	0.3701627497
282	0.3699559496
283	0.3697007196
284	0.3693033469
285	0.3690753753
286	0.3687384169
287	0.3686161886
288	0.3684127171
289	0.3682526123
290	0.3681067157
291	0.3676011979
292	0.367427848
293	0.3672208568
294	0.3670920357
295	0.3669797479
296	0.3668533226
297	0.3666965974
298	0.3665816411
299	0.3662897261
300	0.366169877
301	0.3659917277
302	0.3657807137
303	0.3655975306
304	0.365419662
305	0.3651740092
306	0.3648936639
307	0.3647326362
308	0.3645020901
309	0.3644086517
310	0.3642015578
311	0.3641140404
312	0.3637525212
313	0.3634456077
314	0.3631547425
315	0.3628102304
316	0.3626577985
317	0.3625005764
318	0.3623626559
319	0.3621836954
320	0.362003924
321	0.3618047214
322	0.3616719401
323	0.3615594551
324	0.3614169014
325	0.3612551132
326	0.3611119206
327	0.3608968959
328	0.3606535583
329	0.3604888692
330	0.3603349451
331	0.3601890054
332	0.3600794357
333	0.3598407201
334	0.3596957819
335	0.3595761238
336	0.3594569432
337	0.3593408211
338	0.3592061839
339	0.3590628575
340	0.3584684574
341	0.3582887758
342	0.3581083712
343	0.3580647212
344	0.357788503
345	0.357598031
346	0.3572740418
347	0.3569697668
348	0.3568899238
349	0.3567359421
350	0.35654578
351	0.3564155793
352	0.3562995593
353	0.3562024542
354	0.3557143969
355	0.3555878558
356	0.3554659589
357	0.355312113
358	0.3551892366
359	0.355044449
360	0.3549581429
361	0.3548523872
362	0.3545156624
363	0.354309716
364	0.3541208457
365	0.3539348592
366	0.3537871606
367	0.3536297082
368	0.3535033016
369	0.3531724001
370	0.3530033912
371	0.3528399638
372	0.3527250122
373	0.3526010416
374	0.3523960234
375	0.3522404983
376	0.352067483
377	0.3519282934
378	0.3517964419
379	0.3516637328
380	0.3515500863
381	0.3514037653
382	0.3513023927
383	0.3511141865
384	0.3510053376
385	0.3509115161
386	0.3508037907
387	0.3505484662
388	0.3503975891
389	0.3502518482
390	0.3501129156
391	0.3499379856
392	0.3497416951
393	0.3495966216
394	0.3494882058
395	0.3493752041
396	0.3492328973
397	0.3491263862
398	0.3489940682
399	0.3488553889
400	0.3486869613
401	0.3485778393
402	0.3484275834
403	0.348242619
404	0.3481346198
405	0.3479746862
406	0.3477999994
407	0.3477031704
408	0.3474796235
409	0.3473904124
410	0.3473161192
411	0.3472139602
412	0.3470963749
413	0.3470176193
414	0.3468167228
